,name,failed before pnr_x,failed during pnr_x,open_x,short_x,minlen_x,terminal_x,other_x,failed before pnr_y,failed during pnr_y,open_y,short_y,minlen_y,terminal_y,other_y
0,COMPARATOR_PRE_AMP,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
1,BUFFER_VCM_FINAL1,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
2,high_speed_comparator,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
3,powertrain_binary,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
4,inverter_v3,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
5,Reference_buffer_core,False,False,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
6,tb_single_SAR,False,True,,,,,,False,True,,,,,
7,BUFFER_VCM_FINAL4,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
8,common_source,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
9,test_vga,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
10,BUFFER_VREFP,False,False,0.0,0.0,0.0,0.0,0.0,False,False,1.0,0.0,0.0,0.0,0.0
11,buffer,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
12,single_to_differential_converter,False,False,2.0,4.0,6.0,1.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
13,ldo_error_amp_v2,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
14,BUFFER_VCM_FINAL2,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
15,inverter_v2,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
16,vco_dtype_12_hierarchical,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
17,sc_dc_dc_converter,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
18,cascode_current_mirror_ota,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
19,adder,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
20,BUFFER_VCM,False,False,0.0,0.0,0.0,0.0,0.0,False,False,2.0,2.0,1.0,0.0,0.0
21,BUFFER_VREFP_ud,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
22,ldo_error_amp,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
23,BUFFER_VREFP2,False,False,2.0,0.0,0.0,0.0,0.0,False,False,1.0,0.0,0.0,0.0,0.0
24,BUFFER_VREFP_FINAL2,False,False,6.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
25,inverter_current_starved,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
26,Sanitized_ResTune_Configure,False,False,16.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
27,BUFFER_VCM_FINAL,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
28,TI_SAR,False,True,,,,,,False,True,,,,,
29,BUFFER_VREFP1,False,False,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
30,COMPARATOR_2LEVEL_BIDIRECTIONAL_MAC_SKEW,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
31,telescopic_ota_multi_connection,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
32,SW_Cres_v3_5,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
33,BUFFER_VCM_FINAL3,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
34,powertrain_thermo,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
35,BUFFER_VREFP_ZHU,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
36,telescopic_ota_with_bias,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
37,VCM5,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
38,comparator1,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
39,five_transistor_ota,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
40,TEST,False,False,2.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
41,telescopic_ota,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
42,linear_equalizer,False,False,1.0,2.0,0.0,0.0,0.0,False,False,1.0,2.0,0.0,0.0,0.0
43,SAR_ADC_6b_2GSPS,False,True,,,,,,False,True,,,,,
44,CTDSM_CORE_NEW,False,True,,,,,,,,,,,,
45,VCM4,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
46,ring_oscillator,False,False,0.0,0.0,0.0,0.0,0.0,False,True,,,,,
47,current_mirror_ota,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
48,Sanitized_BTSW,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
49,Sanitized_Coarse_Comp_CK,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
50,five_transistor_ota_high_frequency,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
51,Gm1_v5_Practice,False,False,0.0,2.0,0.0,0.0,0.0,False,False,0.0,2.0,0.0,0.0,0.0
52,inverter_v1,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
53,powertrain,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
54,COMP_GM_STAGE_0415,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
55,vco_dtype_12_hierarchical_res,False,False,8.0,0.0,0.0,0.0,0.0,False,False,1.0,0.0,0.0,0.0,0.0
56,variable_gain_amplifier,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
57,switched_capacitor_filter,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
58,Sanitized_EdgeComparator,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
59,vco_dtype_12_hierarchical_res_constrained,False,False,1.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
60,unity_gain_buffers,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0
61,BUFFER_VCM1,,,,,,,,False,False,0.0,0.0,0.0,0.0,0.0
