name,failed before pnr,failed during pnr,open,short,minlen,terminal,other,w,h,area,aspect
COMPARATOR_PRE_AMP,False,False,0,0,0,0,0,0.4532,0.7192,0.32594143999999997,1.58693733451015
BUFFER_VCM_FINAL1,False,False,0,0,0,0,0,0.3012,1.4416,0.43420992,4.786188579017264
high_speed_comparator,False,False,0,0,0,0,0,1.0292,1.302,1.3400184,1.2650602409638556
inverter_v3,False,False,0,0,0,0,0,0.2132,0.2436,0.051935520000000006,1.1425891181988743
Reference_buffer_core,False,False,0,0,0,0,0,0.6932,1.2064,0.83627648,1.7403346797461048
tb_single_SAR,True,,,,,,,,,,
BUFFER_VCM_FINAL4,False,False,0,0,0,0,0,0.3732,0.7192,0.26840543999999994,1.9271168274383708
common_source,False,False,0,0,0,0,0,0.096,0.4704,0.0451584,4.8999999999999995
test_vga,False,True,,,,,,,,,
BUFFER_VREFP,False,False,1,0,0,0,0,0.8532,1.198,1.0221335999999999,1.4041256446319739
buffer,False,False,0,0,0,0,0,0.3012,0.3612,0.10879344000000002,1.199203187250996
single_to_differential_converter,False,False,0,0,0,0,0,1.3092,1.724,2.2570607999999996,1.3168347082187597
ldo_error_amp_v2,False,False,0,0,0,0,0,0.9172,0.7192,0.6596502399999999,1.2753058954393772
BUFFER_VCM_FINAL2,False,False,0,0,0,0,0,0.3012,1.4416,0.43420992,4.786188579017264
inverter_v2,False,False,0,0,0,0,0,0.1412,0.2436,0.03439632,1.7252124645892353
vco_dtype_12_hierarchical,True,,,,,,,,,,
sc_dc_dc_converter,False,False,0,0,0,0,0,4.6452,8.1752,37.97543904,1.7599242228536984
cascode_current_mirror_ota,False,False,0,0,0,0,0,0.9732,0.7276,0.70810032,1.3375481033534908
adder,False,False,0,0,0,0,0,0.9652,2.2564,2.17787728,2.337753833402404
BUFFER_VCM,False,False,2,4,6,0,0,0.7172,1.8364,1.31706608,2.560513106525377
BUFFER_VREFP_ud,False,False,0,0,0,0,0,0.7172,1.4332,1.0278910399999999,1.9983268265476857
ldo_error_amp,False,False,0,0,0,0,0,0.5972,1.3208,0.7887817599999999,2.2116543871399865
BUFFER_VREFP2,False,False,1,0,0,0,0,4.0292,0.2436,0.9815131200000001,16.54022988505747
BUFFER_VREFP_FINAL2,False,False,0,0,0,0,0,0.7732,1.4332,1.10815024,1.8535954474909468
inverter_current_starved,False,False,0,0,0,0,0,0.7172,0.3612,0.25905264,1.9856035437430783
Sanitized_ResTune_Configure,False,False,0,0,0,0,0,6.1972,1.4416,8.93388352,4.298834628190899
BUFFER_VCM_FINAL,False,False,0,0,0,0,0,0.3012,1.4332,0.43167984000000004,4.758300132802124
BUFFER_VREFP1,False,False,0,0,0,0,0,0.9732,1.198,1.1658936,1.230990546650226
COMPARATOR_2LEVEL_BIDIRECTIONAL_MAC_SKEW,True,,,,,,,,,,
telescopic_ota_multi_connection,False,False,0,0,0,0,0,0.3732,1.0804,0.40320528,2.8949624866023584
