name,failed before pnr,failed during pnr,open,short,minlen,terminal,other,w,h,area,aspect
COMPARATOR_PRE_AMP,False,False,0,0,0,0,0,4.532,7.192,32.594144,1.58693733451015
BUFFER_VCM_FINAL1,False,False,0,0,0,0,0,3.012,14.416,43.420992,4.7861885790172645
high_speed_comparator,False,False,0,0,0,0,0,10.292,13.02,134.00184,1.2650602409638554
powertrain_binary,False,False,0,0,0,0,0,20.612,21.64,446.04368,1.0498738598874444
inverter_v3,False,False,0,0,0,0,0,2.132,2.436,5.193552,1.142589118198874
Reference_buffer_core,False,False,0,0,0,0,0,6.932,12.064,83.62764800000001,1.740334679746105
tb_single_SAR,False,True,,,,,,,,,
BUFFER_VCM_FINAL4,False,False,0,0,0,0,0,3.732,7.192,26.840544,1.9271168274383708
common_source,False,False,0,0,0,0,0,2.052,2.436,4.998672,1.1871345029239766
test_vga,False,False,0,0,0,0,0,26.852,19.12,513.41024,1.4043933054393305
BUFFER_VREFP,False,False,1,0,0,0,0,8.532,11.98,102.21336000000001,1.4041256446319739
buffer,False,False,0,0,0,0,0,3.172,3.612,11.457264,1.1387137452711222
single_to_differential_converter,False,False,0,0,0,0,0,13.092,17.24,225.70608,1.3168347082187595
ldo_error_amp_v2,False,False,0,0,0,0,0,9.172,7.192,65.965024,1.2753058954393772
BUFFER_VCM_FINAL2,False,False,0,0,0,0,0,3.012,14.416,43.420992,4.7861885790172645
inverter_v2,False,False,0,0,0,0,0,1.412,2.436,3.4396319999999996,1.7252124645892353
vco_dtype_12_hierarchical,False,False,0,0,0,0,0,29.652,16.684,494.713968,1.777271637497003
sc_dc_dc_converter,False,False,0,0,0,0,0,223.492,35.836,8009.059311999999,6.2365219332514785
cascode_current_mirror_ota,False,False,0,0,0,0,0,12.052,7.276,87.69035199999999,1.6564046179219352
adder,False,False,0,0,0,0,0,9.652,22.564,217.787728,2.3377538334024037
BUFFER_VCM,False,False,2,2,1,0,0,6.052,19.708,119.27281599999998,3.2564441506939854
BUFFER_VREFP_ud,False,False,0,0,0,0,0,7.172,14.332,102.789104,1.9983268265476857
ldo_error_amp,False,False,0,0,0,0,0,11.332,9.628,109.10449600000001,1.1769837972579975
BUFFER_VREFP2,False,False,1,0,0,0,0,40.292,2.436,98.151312,16.54022988505747
BUFFER_VREFP_FINAL2,False,False,0,0,0,0,0,7.732,14.332,110.81502400000001,1.8535954474909468
inverter_current_starved,False,False,0,0,0,0,0,7.172,3.612,25.905264,1.9856035437430786
Sanitized_ResTune_Configure,False,False,0,0,0,0,0,61.972,14.416,893.388352,4.298834628190899
BUFFER_VCM_FINAL,False,False,0,0,0,0,0,3.012,14.332,43.167984000000004,4.758300132802125
TI_SAR,False,True,,,,,,,,,
BUFFER_VREFP1,False,False,0,0,0,0,0,9.732,11.98,116.58936,1.2309905466502262
COMPARATOR_2LEVEL_BIDIRECTIONAL_MAC_SKEW,False,False,0,0,0,0,0,5.864,26.008,152.510912,4.435197817189632
telescopic_ota_multi_connection,False,False,0,0,0,0,0,3.892,9.628,37.472176,2.473792394655704
SW_Cres_v3_5,False,False,0,0,0,0,0,4.212,4.84,20.38608,1.1490978157644824
BUFFER_VCM_FINAL3,False,False,0,0,0,0,0,5.092,9.628,49.025776,1.8908091123330717
powertrain_thermo,False,False,0,0,0,0,0,145.492,2.436,354.41851199999996,59.725779967159276
BUFFER_VREFP_ZHU,False,False,0,0,0,0,0,4.212,4.84,20.38608,1.1490978157644824
telescopic_ota_with_bias,False,False,0,0,0,0,0,16.132,13.24,213.58768000000003,1.2184290030211482
VCM5,False,False,0,0,0,0,0,5.092,4.84,24.645279999999996,1.0520661157024793
